Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Previous qualification (grade),Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,Target,dropout_probability,risk_level,risk_emoji,counseling_urgency
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,9.98053801920299,0.7860345200427943,12.536588542029095,0,0,6,13.836233610695691,2.052334125792809,11.05033099958422,0,10.8,1.4,1.74,Enrolled,0.98,High Risk,🔴,Immediate counseling session required!
1,1,1,9853,1,1,140.0,1,19,19,7,7,124.6,1,0,0,1,0,0,18,0,0,7,6.687438439086941,5.733866680306584,11.797619621820262,0,0,7,8.05156169087427,6.005686393708371,13.57412023446663,0,16.2,0.3,-0.92,Enrolled,0.15,Low Risk,🟢,No immediate action needed. Monitor monthly.
1,18,4,9556,1,1,127.0,1,1,38,4,7,121.8,1,0,0,1,0,0,20,0,0,7,14.248230716122116,6.9129562232001485,11.466449240421603,0,0,8,8.597988916276766,7.934554009944556,11.324575818500815,0,12.7,3.7,-1.7,Enrolled,0.2,Low Risk,🟢,No immediate action needed. Monitor monthly.
1,1,1,9238,1,1,151.0,1,19,38,9,9,157.0,1,0,1,1,0,1,18,0,0,6,7.970565160981921,5.417181742331182,11.040952188990653,0,0,6,11.955901796069947,3.466109694658968,10.853851707068005,0,7.6,2.6,0.32,Enrolled,0.72,High Risk,🔴,Immediate counseling session required!
1,1,1,9085,1,1,138.0,1,19,19,3,3,131.0,1,0,0,1,0,0,18,0,0,5,8.96395312754624,4.563211377814977,12.583450205912346,2,0,5,7.0405653943462045,3.9161654557705847,12.443526967917942,0,9.4,-0.8,-3.12,Enrolled,0.05,Low Risk,🟢,No immediate action needed. Monitor monthly.
1,17,2,9500,1,1,127.0,1,3,3,1,10,118.8,1,0,0,1,1,0,19,0,0,7,9.343770356938798,6.170873303103627,12.826905639552637,0,0,7,7.026610060274916,6.062300000270322,14.06131304545707,0,16.2,0.3,-0.92,Enrolled,0.2,Low Risk,🟢,No immediate action needed. Monitor monthly.
1,44,1,9003,1,39,150.0,1,4,5,4,2,150.0,0,0,0,1,1,0,21,0,0,6,15.14498193303338,5.001832663267693,11.83232041269812,0,0,6,17.289798160172897,5.069782160623409,10.291551435439018,0,16.2,0.3,-0.92,Enrolled,0.52,Medium Risk,🟡,Schedule check-in within 2 weeks.
1,1,1,9147,1,1,143.0,1,1,1,4,6,138.8,0,0,0,0,1,0,18,0,0,5,9.184669401894274,3.2579612519469587,11.14523313028618,0,0,5,8.252949137157799,2.233190265773895,13.127888838724742,0,8.9,1.4,3.51,Enrolled,0.92,High Risk,🔴,Immediate counseling session required!
1,17,1,9991,0,1,154.0,1,38,38,4,5,134.1,0,0,0,1,0,0,24,0,0,5,9.567455129975674,1.8665267525317153,11.486854549307221,0,0,5,11.800914560729176,3.284487208034626,14.530707374864829,1,7.6,2.6,0.32,Enrolled,0.85,High Risk,🔴,Immediate counseling session required!
1,1,1,9500,1,1,139.0,1,37,38,6,6,121.3,1,0,0,1,0,1,19,0,0,8,10.332803088537537,6.226002894372119,11.690167924225483,0,0,8,9.5754746255574,5.910359354364847,11.283650926527388,0,9.4,-0.8,-3.12,Enrolled,0.11,Low Risk,🟢,No immediate action needed. Monitor monthly.
1,1,1,9773,1,1,127.0,1,1,19,7,7,121.8,1,0,0,1,0,1,20,0,0,6,11.243945265716372,3.8596507030750606,13.605840573991195,0,0,6,12.102438836312656,2.9497376256993943,11.288981337563861,0,9.4,-0.8,-3.12,Enrolled,0.59,Medium Risk,🟡,Schedule check-in within 2 weeks.
1,1,3,171,1,1,125.0,1,38,37,4,9,115.2,1,0,0,1,0,0,18,0,0,0,0.025862341897517634,0.19906048881048619,0.26538671414987536,0,0,0,0.0,0.5036716055054952,0.13026573753977713,0,7.6,2.6,0.32,Enrolled,0.58,Medium Risk,🟡,Schedule check-in within 2 weeks.
1,17,3,171,1,1,133.0,1,1,37,4,7,126.0,1,0,0,1,1,1,19,0,0,0,0.0,0.0,0.26439541266225897,0,0,0,0.14473287944289953,0.27233776831664674,0.1794268850393712,0,10.8,1.4,1.74,Enrolled,0.55,Medium Risk,🟡,Schedule check-in within 2 weeks.
1,17,1,9070,1,1,127.0,1,1,1,3,4,130.2,1,0,0,1,1,0,19,0,0,6,5.26684251094714,5.158668336498825,11.912871919095885,0,0,6,8.401462891742788,1.0221986726155592,9.950799748735628,0,10.8,1.4,1.74,Enrolled,0.87,High Risk,🔴,Immediate counseling session required!
1,43,1,9070,1,1,116.0,1,1,1,3,3,120.9,0,0,0,1,1,0,24,0,0,6,5.708257124180297,0.23472167151653883,0.015010092653058062,0,0,6,6.596813870346544,0.0,0.0,0,12.7,3.7,-1.7,Enrolled,0.97,High Risk,🔴,Immediate counseling session required!
1,39,1,9254,1,1,160.0,1,19,37,7,10,100.0,0,0,0,1,1,0,26,0,0,6,7.668415070014948,5.533975094479052,11.878596775619732,0,0,6,8.451633651743615,5.325907638461606,10.233371106201544,0,12.7,3.7,-1.7,Enrolled,0.47,Medium Risk,🟡,Schedule check-in within 2 weeks.
1,17,1,9147,1,1,148.0,1,38,37,5,5,134.0,0,0,0,1,1,0,18,0,0,5,8.937344243996902,0.26729761610380265,0.0,0,0,5,4.692851135581331,0.3277054019416909,0.437043606985943,0,7.6,2.6,0.32,Enrolled,0.99,High Risk,🔴,Immediate counseling session required!
1,17,1,9254,1,1,120.0,1,19,19,4,4,125.5,0,0,0,1,1,0,18,0,0,5,5.851461418995542,4.6725062055154325,11.53605680532511,0,0,5,7.706039826454548,2.99246669598324,11.19175104927492,0,12.7,3.7,-1.7,Enrolled,0.65,High Risk,🔴,Immediate counseling session required!
